Fecha,Compra,Venta
19-11-2021,197.50,201.5
18-11-2021,197.00,201.0
17-11-2021,197.50,201.5
16-11-2021,196.50,200.5
15-11-2021,195.50,199.5
12-11-2021,196.00,200.0
11-11-2021,202.50,206.5
10-11-2021,201.00,205.0
09-11-2021,195.50,199.5
08-11-2021,195.00,199.0
05-11-2021,195.00,199.0
04-11-2021,195.00,199.0
03-11-2021,195.00,199.0
02-11-2021,193.50,197.5
01-11-2021,192.50,196.5
29-10-2021,193.50,197.5
28-10-2021,194.00,198.0
27-10-2021,193.00,197.0
26-10-2021,192.00,196.0
25-10-2021,190.00,194.0
22-10-2021,191.00,195.0
21-10-2021,187.00,191.0
20-10-2021,184.00,188.0
19-10-2021,183.00,187.0
18-10-2021,181.50,185.5
15-10-2021,182.50,186.5
14-10-2021,181.50,185.5
13-10-2021,181.00,185.0
12-10-2021,181.00,185.0
07-10-2021,180.50,184.5
06-10-2021,181.50,185.5
05-10-2021,181.00,185.0
04-10-2021,181.00,185.0
01-10-2021,182.00,186.0
30-09-2021,182.00,186.0
29-09-2021,183.00,187.0
28-09-2021,183.00,187.0
27-09-2021,182.50,186.5
24-09-2021,182.00,186.0
23-09-2021,181.00,185.0
22-09-2021,181.00,185.0
21-09-2021,180.00,184.0
20-09-2021,180.00,184.0
17-09-2021,181.00,185.0
16-09-2021,182.00,186.0
15-09-2021,181.00,185.0
14-09-2021,178.50,182.5
13-09-2021,177.00,181.0
10-09-2021,181.00,185.0
09-09-2021,182.50,186.5
08-09-2021,183.00,187.0
07-09-2021,179.50,183.5
06-09-2021,178.00,182.0
03-09-2021,177.00,182.0
02-09-2021,176.00,181.0
01-09-2021,175.50,180.5
31-08-2021,176.50,181.5
30-08-2021,177.00,182.0
27-08-2021,177.00,182.0
26-08-2021,176.50,181.5
25-08-2021,176.50,181.5
24-08-2021,177.00,182.0
23-08-2021,177.00,182.0
20-08-2021,177.00,182.0
19-08-2021,176.50,181.5
18-08-2021,177.00,182.0
17-08-2021,178.00,183.0
13-08-2021,177.00,182.0
12-08-2021,173.50,178.5
11-08-2021,173.00,178.0
10-08-2021,173.00,178.0
09-08-2021,174.00,179.0
06-08-2021,173.50,178.5
05-08-2021,174.50,179.5
04-08-2021,175.50,180.5
03-08-2021,175.50,180.5
02-08-2021,175.50,180.5
30-07-2021,175.50,180.5
29-07-2021,175.00,180.0
28-07-2021,175.00,180.0
27-07-2021,178.00,183.0
26-07-2021,179.00,184.0
23-07-2021,180.00,185.0
22-07-2021,179.50,184.5
21-07-2021,177.50,182.5
20-07-2021,177.00,182.0
19-07-2021,175.00,180.0
16-07-2021,174.00,179.0
15-07-2021,173.00,178.0
14-07-2021,172.00,177.0
13-07-2021,171.00,176.0
12-07-2021,172.00,177.0
08-07-2021,169.00,174.0
07-07-2021,167.00,172.0
06-07-2021,166.00,171.0
05-07-2021,166.00,171.0
02-07-2021,165.00,170.0
01-07-2021,164.00,169.0
30-06-2021,163.00,168.0
29-06-2021,165.00,170.0
28-06-2021,168.00,173.0
25-06-2021,169.00,174.0
24-06-2021,165.00,170.0
23-06-2021,161.00,166.0
22-06-2021,160.00,165.0
18-06-2021,159.00,164.0
17-06-2021,158.00,163.0
16-06-2021,158.00,163.0
15-06-2021,155.00,160.0
14-06-2021,153.00,158.0
11-06-2021,153.00,158.0
10-06-2021,152.00,157.0
09-06-2021,151.00,156.0
08-06-2021,151.00,156.0
07-06-2021,152.00,157.0
04-06-2021,152.00,157.0
03-06-2021,151.00,156.0
02-06-2021,151.00,156.0
01-06-2021,150.00,155.0
31-05-2021,152.00,157.0
28-05-2021,152.00,157.0
27-05-2021,152.00,157.0
26-05-2021,150.00,155.0
24-05-2021,148.00,153.0
21-05-2021,148.00,153.0
20-05-2021,149.00,155.0
19-05-2021,150.00,156.0
18-05-2021,151.00,156.0
17-05-2021,148.00,153.0
14-05-2021,148.00,153.0
13-05-2021,146.00,151.0
12-05-2021,147.00,152.0
11-05-2021,146.00,151.0
10-05-2021,147.00,152.0
07-05-2021,145.00,151.0
06-05-2021,145.00,151.0
05-05-2021,146.00,151.0
04-05-2021,149.00,154.0
03-05-2021,148.00,153.0
30-04-2021,145.00,150.0
29-04-2021,149.00,154.0
28-04-2021,157.00,162.0
27-04-2021,156.00,161.0
26-04-2021,153.00,158.0
23-04-2021,147.00,152.0
22-04-2021,142.00,147.0
21-04-2021,139.00,144.0
20-04-2021,138.00,143.0
19-04-2021,138.00,143.0
16-04-2021,137.00,142.0
15-04-2021,138.00,143.0
14-04-2021,138.00,143.0
13-04-2021,137.00,142.0
12-04-2021,137.00,142.0
09-04-2021,135.00,140.0
08-04-2021,135.00,140.0
07-04-2021,134.00,139.0
06-04-2021,135.00,140.0
05-04-2021,135.00,140.0
31-03-2021,136.00,141.0
30-03-2021,136.00,141.0
29-03-2021,137.00,142.0
26-03-2021,137.00,142.0
25-03-2021,138.00,143.0
23-03-2021,138.00,143.0
22-03-2021,138.00,143.0
19-03-2021,139.00,144.0
18-03-2021,139.00,144.0
17-03-2021,139.00,144.0
16-03-2021,139.00,144.0
15-03-2021,141.00,146.0
12-03-2021,137.00,142.0
11-03-2021,135.00,140.0
10-03-2021,138.00,143.0
09-03-2021,139.00,144.0
08-03-2021,139.00,144.0
05-03-2021,139.00,144.0
04-03-2021,139.00,144.0
03-03-2021,140.00,145.0
02-03-2021,140.00,145.0
01-03-2021,142.00,147.0
26-02-2021,141.00,146.0
25-02-2021,138.00,143.0
24-02-2021,140.00,145.0
23-02-2021,141.00,146.0
22-02-2021,142.00,147.0
19-02-2021,142.00,147.0
18-02-2021,148.00,148.0
17-02-2021,144.00,149.0
12-02-2021,145.00,150.0
11-02-2021,144.00,149.0
10-02-2021,146.00,151.0
09-02-2021,147.00,152.0
08-02-2021,146.00,151.0
05-02-2021,146.00,151.0
04-02-2021,145.00,150.0
03-02-2021,148.00,153.0
02-02-2021,148.00,153.0
01-02-2021,148.00,153.0
29-01-2021,148.00,153.0
28-01-2021,149.00,154.0
27-01-2021,149.00,154.0
26-01-2021,151.00,156.0
25-01-2021,151.00,156.0
22-01-2021,151.00,156.0
21-01-2021,151.00,156.0
20-01-2021,151.00,156.0
19-01-2021,152.00,157.0
15-01-2021,153.00,159.0
