Date,CER,UVA,UVI
01-01-2003,1.4055,,
02-01-2003,1.4058,,
03-01-2003,1.406,,
04-01-2003,1.4062,,
05-01-2003,1.4064,,
06-01-2003,1.4067,,
07-01-2003,1.4068,,
08-01-2003,1.4069,,
09-01-2003,1.4069,,
10-01-2003,1.407,,
11-01-2003,1.4071,,
12-01-2003,1.4072,,
13-01-2003,1.4073,,
14-01-2003,1.4074,,
15-01-2003,1.4075,,
16-01-2003,1.4075,,
17-01-2003,1.4076,,
18-01-2003,1.4077,,
19-01-2003,1.4078,,
20-01-2003,1.4079,,
21-01-2003,1.408,,
22-01-2003,1.4081,,
23-01-2003,1.4081,,
24-01-2003,1.4082,,
25-01-2003,1.4083,,
26-01-2003,1.4084,,
27-01-2003,1.4085,,
28-01-2003,1.4086,,
29-01-2003,1.4087,,
30-01-2003,1.4087,,
31-01-2003,1.4088,,
01-02-2003,1.4089,,
02-02-2003,1.409,,
03-02-2003,1.4091,,
04-02-2003,1.4092,,
05-02-2003,1.4093,,
06-02-2003,1.4094,,
07-02-2003,1.4101,,
08-02-2003,1.4107,,
09-02-2003,1.4114,,
10-02-2003,1.412,,
11-02-2003,1.4127,,
12-02-2003,1.4134,,
13-02-2003,1.414,,
14-02-2003,1.4147,,
15-02-2003,1.4153,,
16-02-2003,1.416,,
17-02-2003,1.4167,,
18-02-2003,1.4173,,
19-02-2003,1.418,,
20-02-2003,1.4186,,
21-02-2003,1.4193,,
22-02-2003,1.42,,
23-02-2003,1.4206,,
24-02-2003,1.4213,,
25-02-2003,1.422,,
26-02-2003,1.4226,,
27-02-2003,1.4233,,
28-02-2003,1.4239,,
01-03-2003,1.4246,,
02-03-2003,1.4252,,
03-03-2003,1.4258,,
04-03-2003,1.4264,,
05-03-2003,1.427,,
06-03-2003,1.4276,,
07-03-2003,1.4278,,
08-03-2003,1.4281,,
09-03-2003,1.4283,,
10-03-2003,1.4286,,
11-03-2003,1.4289,,
12-03-2003,1.4291,,
13-03-2003,1.4294,,
14-03-2003,1.4296,,
15-03-2003,1.4299,,
16-03-2003,1.4302,,
17-03-2003,1.4304,,
18-03-2003,1.4307,,
19-03-2003,1.4309,,
20-03-2003,1.4312,,
21-03-2003,1.4315,,
22-03-2003,1.4317,,
23-03-2003,1.432,,
24-03-2003,1.4322,,
25-03-2003,1.4325,,
26-03-2003,1.4328,,
27-03-2003,1.433,,
28-03-2003,1.4333,,
29-03-2003,1.4336,,
30-03-2003,1.4338,,
31-03-2003,1.4341,,
01-04-2003,1.4343,,
02-04-2003,1.4346,,
03-04-2003,1.4349,,
04-04-2003,1.4352,,
05-04-2003,1.4354,,
06-04-2003,1.4357,,
07-04-2003,1.436,,
08-04-2003,1.4363,,
09-04-2003,1.4365,,
10-04-2003,1.4368,,
11-04-2003,1.4371,,
12-04-2003,1.4374,,
13-04-2003,1.4377,,
14-04-2003,1.4379,,
15-04-2003,1.4382,,
16-04-2003,1.4385,,
17-04-2003,1.4388,,
18-04-2003,1.4391,,
19-04-2003,1.4393,,
20-04-2003,1.4396,,
21-04-2003,1.4399,,
22-04-2003,1.4402,,
23-04-2003,1.4405,,
24-04-2003,1.4407,,
25-04-2003,1.441,,
26-04-2003,1.4413,,
27-04-2003,1.4416,,
28-04-2003,1.4419,,
29-04-2003,1.4421,,
30-04-2003,1.4424,,
01-05-2003,1.4427,,
02-05-2003,1.443,,
03-05-2003,1.4432,,
04-05-2003,1.4435,,
05-05-2003,1.4438,,
06-05-2003,1.444,,
07-05-2003,1.4441,,
08-05-2003,1.4441,,
09-05-2003,1.4441,,
10-05-2003,1.4442,,
11-05-2003,1.4442,,
12-05-2003,1.4442,,
13-05-2003,1.4442,,
14-05-2003,1.4443,,
15-05-2003,1.4443,,
16-05-2003,1.4443,,
17-05-2003,1.4443,,
18-05-2003,1.4444,,
19-05-2003,1.4444,,
20-05-2003,1.4444,,
21-05-2003,1.4444,,
22-05-2003,1.4445,,
23-05-2003,1.4445,,
24-05-2003,1.4445,,
25-05-2003,1.4445,,
26-05-2003,1.4446,,
27-05-2003,1.4446,,
28-05-2003,1.4446,,
29-05-2003,1.4447,,
30-05-2003,1.4447,,
31-05-2003,1.4447,,
01-06-2003,1.4447,,
02-06-2003,1.4448,,
03-06-2003,1.4448,,
04-06-2003,1.4448,,
05-06-2003,1.4448,,
06-06-2003,1.4449,,
07-06-2003,1.4447,,
08-06-2003,1.4445,,
09-06-2003,1.4443,,
10-06-2003,1.4441,,
11-06-2003,1.4439,,
12-06-2003,1.4437,,
13-06-2003,1.4436,,
14-06-2003,1.4434,,
15-06-2003,1.4432,,
16-06-2003,1.443,,
17-06-2003,1.4428,,
18-06-2003,1.4426,,
19-06-2003,1.4424,,
20-06-2003,1.4422,,
21-06-2003,1.4421,,
22-06-2003,1.4419,,
23-06-2003,1.4417,,
24-06-2003,1.4415,,
25-06-2003,1.4413,,
26-06-2003,1.4411,,
27-06-2003,1.4409,,
28-06-2003,1.4407,,
29-06-2003,1.4405,,
30-06-2003,1.4404,,
01-07-2003,1.4402,,
02-07-2003,1.44,,
03-07-2003,1.4398,,
04-07-2003,1.4396,,
05-07-2003,1.4395,,
06-07-2003,1.4393,,
07-07-2003,1.4392,,
08-07-2003,1.4392,,
09-07-2003,1.4392,,
10-07-2003,1.4391,,
11-07-2003,1.4391,,
