Fecha,Venta
20-11-2021,203.03
19-11-2021,203.03
18-11-2021,204.52
17-11-2021,200.0
16-11-2021,200.3
15-11-2021,188.78
14-11-2021,183.98
13-11-2021,183.98
12-11-2021,183.98
11-11-2021,183.23
10-11-2021,182.74
09-11-2021,182.46
08-11-2021,181.86
07-11-2021,181.26
06-11-2021,181.26
05-11-2021,181.26
04-11-2021,180.56
03-11-2021,180.07
02-11-2021,179.32
01-11-2021,179.22
31-10-2021,179.22
30-10-2021,179.22
29-10-2021,179.22
28-10-2021,179.23
27-10-2021,179.23
26-10-2021,179.24
25-10-2021,179.23
24-10-2021,179.23
23-10-2021,179.23
22-10-2021,179.23
21-10-2021,178.83
20-10-2021,178.6
19-10-2021,178.36
18-10-2021,178.02
17-10-2021,177.68
16-10-2021,177.68
15-10-2021,177.68
14-10-2021,177.43
13-10-2021,177.1
12-10-2021,176.78
11-10-2021,176.45
10-10-2021,176.45
09-10-2021,176.45
08-10-2021,176.45
07-10-2021,176.45
06-10-2021,176.33
05-10-2021,176.34
04-10-2021,175.89
03-10-2021,175.47
02-10-2021,175.47
01-10-2021,175.47
30-09-2021,175.03
29-09-2021,174.64
28-09-2021,174.41
27-09-2021,173.92
26-09-2021,173.42
25-09-2021,173.42
24-09-2021,173.42
23-09-2021,173.33
22-09-2021,172.99
21-09-2021,172.67
20-09-2021,172.68
19-09-2021,172.44
18-09-2021,172.44
17-09-2021,172.44
16-09-2021,172.32
15-09-2021,171.83
14-09-2021,171.44
13-09-2021,171.04
12-09-2021,170.65
11-09-2021,170.65
10-09-2021,170.65
09-09-2021,170.67
08-09-2021,170.68
07-09-2021,171.2
06-09-2021,170.82
05-09-2021,170.58
04-09-2021,170.58
03-09-2021,170.58
02-09-2021,170.58
01-09-2021,170.42
31-08-2021,170.26
30-08-2021,169.98
29-08-2021,169.97
28-08-2021,169.97
27-08-2021,169.97
26-08-2021,169.96
25-08-2021,169.66
24-08-2021,169.43
23-08-2021,169.46
22-08-2021,169.32
21-08-2021,169.32
20-08-2021,169.32
19-08-2021,169.36
18-08-2021,169.39
17-08-2021,169.41
16-08-2021,169.45
15-08-2021,169.45
14-08-2021,169.45
13-08-2021,169.45
12-08-2021,169.62
11-08-2021,170.03
10-08-2021,169.87
09-08-2021,169.94
08-08-2021,170.09
07-08-2021,170.09
06-08-2021,170.09
05-08-2021,169.93
04-08-2021,169.73
03-08-2021,169.57
02-08-2021,168.67
01-08-2021,168.19
31-07-2021,168.19
30-07-2021,168.19
29-07-2021,167.9
28-07-2021,167.9
27-07-2021,167.36
26-07-2021,166.81
25-07-2021,166.48
24-07-2021,166.48
23-07-2021,166.48
22-07-2021,166.39
21-07-2021,166.3
20-07-2021,166.07
19-07-2021,165.79
18-07-2021,165.5
17-07-2021,165.5
16-07-2021,165.5
15-07-2021,165.26
14-07-2021,165.29
13-07-2021,165.38
12-07-2021,166.05
11-07-2021,166.42
10-07-2021,166.42
09-07-2021,166.42
08-07-2021,166.42
07-07-2021,166.2
06-07-2021,165.98
05-07-2021,166.45
04-07-2021,166.35
03-07-2021,166.35
02-07-2021,166.35
01-07-2021,165.77
30-06-2021,163.57
29-06-2021,163.75
28-06-2021,162.78
27-06-2021,163.53
26-06-2021,163.53
25-06-2021,163.53
24-06-2021,162.03
23-06-2021,160.92
22-06-2021,160.63
21-06-2021,159.84
20-06-2021,159.84
19-06-2021,159.84
18-06-2021,159.84
17-06-2021,160.41
16-06-2021,159.19
15-06-2021,158.72
14-06-2021,157.95
13-06-2021,158.09
12-06-2021,158.09
11-06-2021,158.09
10-06-2021,159.07
09-06-2021,159.68
08-06-2021,160.48
07-06-2021,160.55
06-06-2021,160.86
05-06-2021,160.86
04-06-2021,160.86
03-06-2021,161.33
02-06-2021,161.71
01-06-2021,160.96
31-05-2021,160.23
30-05-2021,159.49
29-05-2021,159.49
28-05-2021,159.49
27-05-2021,158.72
26-05-2021,158.05
25-05-2021,158.37
24-05-2021,158.37
23-05-2021,158.37
22-05-2021,158.37
21-05-2021,158.37
20-05-2021,157.22
19-05-2021,156.49
18-05-2021,154.65
17-05-2021,154.65
16-05-2021,154.17
15-05-2021,154.17
14-05-2021,154.17
13-05-2021,153.71
12-05-2021,153.21
11-05-2021,153.16
10-05-2021,153.95
09-05-2021,154.4
08-05-2021,154.4
07-05-2021,154.4
06-05-2021,154.3
05-05-2021,153.82
04-05-2021,153.33
03-05-2021,152.96
02-05-2021,152.19
01-05-2021,152.19
30-04-2021,152.19
29-04-2021,152.2
28-04-2021,151.8
27-04-2021,151.49
26-04-2021,150.27
25-04-2021,148.36
24-04-2021,148.36
23-04-2021,148.36
22-04-2021,145.5
21-04-2021,145.44
20-04-2021,145.94
19-04-2021,144.37
18-04-2021,143.71
17-04-2021,143.71
16-04-2021,143.71
15-04-2021,143.65
14-04-2021,143.8
13-04-2021,142.79
12-04-2021,143.26
11-04-2021,144.38
10-04-2021,144.38
09-04-2021,144.38
08-04-2021,144.66
07-04-2021,143.77
06-04-2021,143.66
05-04-2021,141.81
04-04-2021,142.19
03-04-2021,142.19
02-04-2021,142.19
01-04-2021,142.19
31-03-2021,142.19
30-03-2021,140.39
29-03-2021,138.48
28-03-2021,138.45
27-03-2021,138.45
26-03-2021,138.45
25-03-2021,141.19
24-03-2021,142.78
23-03-2021,142.78
22-03-2021,143.15
21-03-2021,144.0
20-03-2021,144.0
19-03-2021,144.0
18-03-2021,144.71
17-03-2021,145.28
16-03-2021,144.6
15-03-2021,144.59
14-03-2021,144.84
13-03-2021,144.84
12-03-2021,144.84
11-03-2021,144.3
10-03-2021,144.43
09-03-2021,145.39
08-03-2021,145.87
07-03-2021,145.87
06-03-2021,145.87
05-03-2021,145.87
04-03-2021,145.11
03-03-2021,146.11
02-03-2021,146.13
01-03-2021,143.8
28-02-2021,141.92
27-02-2021,141.92
26-02-2021,141.92
25-02-2021,141.92
24-02-2021,140.94
23-02-2021,139.86
22-02-2021,138.79
21-02-2021,140.65
20-02-2021,140.65
19-02-2021,140.65
18-02-2021,141.77
17-02-2021,143.47
16-02-2021,147.65
15-02-2021,147.65
14-02-2021,147.65
13-02-2021,147.65
12-02-2021,147.65
11-02-2021,148.34
10-02-2021,149.75
09-02-2021,150.0
08-02-2021,149.6
07-02-2021,149.6
06-02-2021,149.6
05-02-2021,149.6
04-02-2021,149.84
03-02-2021,149.34
02-02-2021,148.83
01-02-2021,148.33
31-01-2021,147.88
30-01-2021,147.88
29-01-2021,147.88
28-01-2021,147.9
27-01-2021,147.38
26-01-2021,146.89
25-01-2021,146.38
24-01-2021,145.88
23-01-2021,145.88
22-01-2021,145.88
21-01-2021,145.96
20-01-2021,145.72
19-01-2021,145.48
18-01-2021,145.36
17-01-2021,145.39
16-01-2021,145.39
15-01-2021,145.39
14-01-2021,145.42
13-01-2021,144.72
12-01-2021,144.98
11-01-2021,145.8
10-01-2021,145.06
09-01-2021,145.06
08-01-2021,145.06
07-01-2021,145.84
06-01-2021,144.39
05-01-2021,143.55
04-01-2021,142.32
03-01-2021,139.99
02-01-2021,139.99
01-01-2021,139.99
31-12-2020,139.99
30-12-2020,139.99
29-12-2020,140.04
28-12-2020,140.0
27-12-2020,140.35
26-12-2020,140.35
25-12-2020,140.35
24-12-2020,140.35
23-12-2020,140.35
22-12-2020,140.04
21-12-2020,138.81
20-12-2020,140.73
19-12-2020,140.73
18-12-2020,140.73
17-12-2020,140.79
16-12-2020,141.26
15-12-2020,141.82
14-12-2020,140.29
13-12-2020,138.22
12-12-2020,138.22
11-12-2020,138.22
10-12-2020,138.22
09-12-2020,139.49
08-12-2020,142.05
07-12-2020,142.05
06-12-2020,142.05
05-12-2020,142.05
04-12-2020,142.05
03-12-2020,139.74
02-12-2020,144.36
01-12-2020,144.7
30-11-2020,144.55
29-11-2020,145.45
28-11-2020,145.45
27-11-2020,145.45
26-11-2020,146.59
25-11-2020,146.68
24-11-2020,147.88
23-11-2020,147.17
22-11-2020,147.17
21-11-2020,147.17
20-11-2020,147.17
19-11-2020,146.53
18-11-2020,145.95
17-11-2020,144.1
16-11-2020,142.82
15-11-2020,141.23
14-11-2020,141.23
13-11-2020,141.23
12-11-2020,141.5
11-11-2020,145.54
10-11-2020,141.43
09-11-2020,141.98
08-11-2020,141.58
07-11-2020,141.58
06-11-2020,141.58
05-11-2020,141.88
04-11-2020,139.75
03-11-2020,140.18
02-11-2020,139.23
01-11-2020,143.23
31-10-2020,143.23
30-10-2020,143.23
29-10-2020,144.04
28-10-2020,144.85
27-10-2020,152.98
26-10-2020,157.21
25-10-2020,155.17
24-10-2020,155.17
23-10-2020,155.17
22-10-2020,163.09
21-10-2020,162.66
20-10-2020,160.92
19-10-2020,153.4
18-10-2020,152.07
17-10-2020,152.07
16-10-2020,152.07
15-10-2020,154.97
14-10-2020,150.28
13-10-2020,144.95
12-10-2020,143.42
11-10-2020,143.42
10-10-2020,143.42
09-10-2020,143.42
08-10-2020,140.94
07-10-2020,138.97
06-10-2020,140.16
05-10-2020,140.79
04-10-2020,138.15
03-10-2020,138.15
02-10-2020,138.15
01-10-2020,139.04
30-09-2020,138.79
29-09-2020,138.8
28-09-2020,137.31
27-09-2020,135.29
26-09-2020,135.29
25-09-2020,135.29
24-09-2020,130.87
23-09-2020,134.69
22-09-2020,134.39
21-09-2020,130.98
20-09-2020,129.72
19-09-2020,129.72
18-09-2020,129.72
17-09-2020,126.33
16-09-2020,127.61
15-09-2020,122.06
14-09-2020,123.21
13-09-2020,125.17
12-09-2020,125.17
11-09-2020,125.17
10-09-2020,123.41
09-09-2020,119.67
08-09-2020,116.41
07-09-2020,117.84
06-09-2020,120.0
05-09-2020,120.0
04-09-2020,120.0
03-09-2020,119.51
02-09-2020,119.72
01-09-2020,117.64
31-08-2020,121.57
30-08-2020,121.73
29-08-2020,121.73
28-08-2020,121.73
27-08-2020,122.29
26-08-2020,125.16
25-08-2020,127.69
24-08-2020,130.33
23-08-2020,129.52
22-08-2020,129.52
21-08-2020,129.52
20-08-2020,129.42
19-08-2020,127.61
18-08-2020,125.69
17-08-2020,124.22
16-08-2020,124.22
15-08-2020,124.22
14-08-2020,124.22
13-08-2020,125.3
12-08-2020,125.73
11-08-2020,124.53
10-08-2020,125.84
09-08-2020,124.65
08-08-2020,124.65
07-08-2020,124.65
06-08-2020,121.68
05-08-2020,117.17
04-08-2020,116.28
03-08-2020,122.0
02-08-2020,122.21
01-08-2020,122.21
31-07-2020,122.21
30-07-2020,119.54
29-07-2020,116.72
28-07-2020,115.89
27-07-2020,115.67
26-07-2020,114.57
25-07-2020,114.57
24-07-2020,114.57
23-07-2020,111.78
22-07-2020,114.45
21-07-2020,116.07
20-07-2020,117.57
19-07-2020,115.39
18-07-2020,115.39
17-07-2020,115.39
16-07-2020,112.0
15-07-2020,112.02
14-07-2020,110.97
13-07-2020,109.73
12-07-2020,108.98
11-07-2020,108.98
10-07-2020,108.98
09-07-2020,108.98
08-07-2020,108.98
07-07-2020,108.58
06-07-2020,106.7
05-07-2020,105.79
04-07-2020,105.79
03-07-2020,105.79
02-07-2020,107.24
01-07-2020,105.5
30-06-2020,100.53
29-06-2020,100.39
28-06-2020,102.47
27-06-2020,102.47
26-06-2020,102.47
25-06-2020,104.21
24-06-2020,107.3
23-06-2020,107.67
22-06-2020,108.12
21-06-2020,109.53
20-06-2020,109.53
19-06-2020,109.53
18-06-2020,107.1
17-06-2020,104.96
16-06-2020,105.31
15-06-2020,106.59
14-06-2020,106.59
13-06-2020,106.59
12-06-2020,106.59
11-06-2020,107.49
10-06-2020,108.07
09-06-2020,108.73
08-06-2020,110.0
07-06-2020,109.86
06-06-2020,109.86
05-06-2020,109.86
04-06-2020,108.27
03-06-2020,107.91
02-06-2020,106.39
01-06-2020,108.77
31-05-2020,107.71
30-05-2020,107.71
29-05-2020,107.71
28-05-2020,109.41
27-05-2020,105.56
26-05-2020,106.32
25-05-2020,109.53
24-05-2020,109.53
23-05-2020,109.53
22-05-2020,109.53
21-05-2020,114.37
20-05-2020,114.84
