Fecha,Compra,Venta
19-11-2021,99.96,105.96
18-11-2021,99.95,105.95
17-11-2021,99.94,105.94
16-11-2021,99.92,105.92
15-11-2021,99.88,105.88
12-11-2021,99.82,105.82
11-11-2021,100.79,105.79
10-11-2021,99.67,105.67
09-11-2021,99.63,105.63
08-11-2021,99.58,105.58
05-11-2021,99.45,105.45
04-11-2021,99.40,105.4
03-11-2021,99.38,105.38
02-11-2021,99.36,105.36
01-11-2021,99.35,105.35
29-10-2021,99.23,105.23
28-10-2021,99.15,105.15
27-10-2021,99.13,105.13
26-10-2021,99.05,105.05
25-10-2021,99.04,105.04
22-10-2021,98.94,104.94
21-10-2021,98.89,104.89
20-10-2021,98.88,104.88
19-10-2021,98.88,104.88
18-10-2021,98.79,104.79
15-10-2021,98.70,104.7
14-10-2021,98.59,104.59
13-10-2021,98.64,104.64
12-10-2021,98.47,104.47
07-10-2021,98.53,104.53
06-10-2021,98.53,104.53
05-10-2021,98.53,104.53
04-10-2021,98.34,104.34
01-10-2021,98.30,104.3
30-09-2021,98.30,104.3
29-09-2021,98.20,104.2
28-09-2021,98.19,104.19
27-09-2021,98.18,104.18
24-09-2021,98.12,104.12
23-09-2021,98.04,104.04
22-09-2021,98.10,104.1
21-09-2021,98.26,104.26
20-09-2021,98.09,104.09
17-09-2021,97.77,103.77
16-09-2021,97.58,103.58
15-09-2021,97.65,103.71
14-09-2021,97.62,103.62
13-09-2021,97.62,103.62
10-09-2021,97.56,103.56
09-09-2021,97.54,103.54
08-09-2021,97.53,103.53
07-09-2021,97.42,103.42
06-09-2021,97.45,103.45
03-09-2021,97.33,103.33
02-09-2021,97.31,103.31
01-09-2021,97.22,103.22
31-08-2021,97.14,103.14
30-08-2021,97.11,103.11
27-08-2021,96.97,102.97
26-08-2021,96.97,102.97
25-08-2021,96.79,102.79
24-08-2021,96.79,102.79
23-08-2021,96.76,102.76
20-08-2021,96.64,102.64
19-08-2021,96.61,102.61
18-08-2021,96.57,102.57
17-08-2021,96.57,102.57
13-08-2021,96.53,102.53
