Date,Value
05-11-2021,173.99
04-11-2021,173.91
03-11-2021,173.88
02-11-2021,173.84
01-11-2021,173.83
29-10-2021,173.63
28-10-2021,173.5
27-10-2021,173.46
26-10-2021,173.33
25-10-2021,173.32
22-10-2021,173.15
21-10-2021,173.07
20-10-2021,173.05
19-10-2021,173.05
18-10-2021,172.9
15-10-2021,172.76
14-10-2021,172.57
13-10-2021,172.66
12-10-2021,172.38
07-10-2021,172.47
06-10-2021,172.47
05-10-2021,172.47
04-10-2021,172.16
01-10-2021,172.1
30-09-2021,172.1
29-09-2021,171.93
28-09-2021,171.91
27-09-2021,171.9
24-09-2021,171.8
23-09-2021,171.67
22-09-2021,171.77
21-09-2021,172.03
20-09-2021,171.75
17-09-2021,171.22
16-09-2021,170.91
16-09-2021,171.02
16-09-2021,171.02
15-09-2021,171.12
14-09-2021,170.97
14-09-2021,170.97
14-09-2021,170.97
13-09-2021,170.97
10-09-2021,170.87
09-09-2021,170.84
08-09-2021,170.82
07-09-2021,170.64
06-09-2021,170.69
03-09-2021,170.49
02-09-2021,170.46
01-09-2021,170.31
31-08-2021,170.18
30-08-2021,170.13
27-08-2021,169.9
26-08-2021,169.9
25-08-2021,169.6
24-08-2021,169.6
23-08-2021,169.55
20-08-2021,169.36
19-08-2021,169.31
18-08-2021,169.24
18-08-2021,0.0
17-08-2021,169.24
13-08-2021,169.17
12-08-2021,168.89
11-08-2021,168.86
10-08-2021,168.86
09-08-2021,168.84
06-08-2021,168.8
05-08-2021,168.76
04-08-2021,168.71
03-08-2021,168.6
02-08-2021,168.5
30-07-2021,168.4
29-07-2021,168.28
28-07-2021,168.3
27-07-2021,168.22
27-07-2021,168.0
26-07-2021,168.0
23-07-2021,167.89
22-07-2021,167.79
21-07-2021,167.9
20-07-2021,167.89
19-07-2021,167.84
16-07-2021,167.72
15-07-2021,167.71
14-07-2021,167.69
13-07-2021,167.44
12-07-2021,167.34
08-07-2021,167.23
08-07-2021,167.21
08-07-2021,167.21
08-07-2021,167.21
07-07-2021,167.21
06-07-2021,167.19
05-07-2021,167.11
02-07-2021,166.96
01-07-2021,167.03
30-06-2021,166.93
29-06-2021,166.88
28-06-2021,166.82
25-06-2021,166.63
24-06-2021,166.47
23-06-2021,166.47
22-06-2021,166.14
18-06-2021,166.17
17-06-2021,166.17
16-06-2021,166.02
15-06-2021,166.11
14-06-2021,165.87
11-06-2021,165.64
10-06-2021,165.61
09-06-2021,165.59
09-06-2021,165.61
08-06-2021,165.61
07-06-2021,165.56
04-06-2021,165.46
03-06-2021,165.43
02-06-2021,165.43
01-06-2021,165.38
31-05-2021,165.15
28-05-2021,165.07
27-05-2021,165.03
26-05-2021,164.93
21-05-2021,164.52
20-05-2021,164.52
19-05-2021,164.51
18-05-2021,164.41
17-05-2021,164.41
14-05-2021,164.19
13-05-2021,164.19
12-05-2021,164.19
11-05-2021,164.18
10-05-2021,164.18
07-05-2021,164.06
06-05-2021,163.91
05-05-2021,163.89
04-05-2021,163.85
03-05-2021,163.7
30-04-2021,163.19
29-04-2021,163.3
28-04-2021,163.2
27-04-2021,163.17
26-04-2021,163.15
23-04-2021,162.99
22-04-2021,162.76
21-04-2021,162.71
20-04-2021,162.67
19-04-2021,162.67
16-04-2021,162.56
15-04-2021,162.48
14-04-2021,162.23
13-04-2021,162.24
12-04-2021,162.21
09-04-2021,162.05
08-04-2021,162.03
07-04-2021,162.01
06-04-2021,161.87
05-04-2021,161.87
31-03-2021,161.19
30-03-2021,161.06
29-03-2021,161.06
26-03-2021,160.99
25-03-2021,160.79
23-03-2021,160.59
22-03-2021,160.22
19-03-2021,160.02
18-03-2021,159.77
17-03-2021,159.65
16-03-2021,159.74
16-03-2021,159.54
16-03-2021,159.54
16-03-2021,159.54
16-03-2021,159.54
16-03-2021,159.54
16-03-2021,159.54
15-03-2021,159.54
12-03-2021,159.21
11-03-2021,159.14
10-03-2021,158.91
09-03-2021,158.52
08-03-2021,158.4
05-03-2021,157.89
04-03-2021,157.99
03-03-2021,157.95
02-03-2021,157.86
01-03-2021,157.56
26-02-2021,156.95
25-02-2021,156.88
24-02-2021,156.78
23-02-2021,156.47
22-02-2021,156.37
19-02-2021,155.76
18-02-2021,155.58
17-02-2021,155.48
12-02-2021,155.02
11-02-2021,154.89
10-02-2021,154.65
09-02-2021,154.41
08-02-2021,154.39
05-02-2021,153.98
04-02-2021,153.76
03-02-2021,153.38
02-02-2021,153.55
01-02-2021,153.43
29-01-2021,152.96
28-01-2021,152.76
27-01-2021,152.53
26-01-2021,152.46
25-01-2021,152.38
22-01-2021,151.8
21-01-2021,151.65
20-01-2021,151.4
19-01-2021,151.42
18-01-2021,150.66
15-01-2021,150.38
14-01-2021,150.46
13-01-2021,150.2
12-01-2021,150.27
11-01-2021,150.13
08-01-2021,149.8
07-01-2021,149.62
06-01-2021,149.41
05-01-2021,149.41
04-01-2021,148.86
30-12-2020,148.29
29-12-2020,148.01
28-12-2020,147.25
23-12-2020,146.72
22-12-2020,146.52
21-12-2020,146.45
18-12-2020,145.63
17-12-2020,145.5
16-12-2020,145.41
15-12-2020,145.4
14-12-2020,145.13
11-12-2020,144.95
10-12-2020,144.94
09-12-2020,144.18
04-12-2020,143.83
03-12-2020,143.78
02-12-2020,143.55
01-12-2020,143.47
30-11-2020,143.09
27-11-2020,142.91
26-11-2020,142.77
25-11-2020,142.21
24-11-2020,142.11
20-11-2020,141.75
19-11-2020,141.47
18-11-2020,141.19
17-11-2020,141.24
16-11-2020,141.24
13-11-2020,140.7
12-11-2020,140.48
11-11-2020,140.32
10-11-2020,140.3
09-11-2020,140.17
05-11-2020,139.64
04-11-2020,139.62
03-11-2020,139.46
02-11-2020,139.28
30-10-2020,138.42
29-10-2020,138.44
28-10-2020,138.44
27-10-2020,138.42
26-10-2020,138.44
23-10-2020,138.35
22-10-2020,138.24
21-10-2020,137.48
20-10-2020,137.4
19-10-2020,137.3
16-10-2020,137.28
15-10-2020,136.93
14-10-2020,136.87
13-10-2020,136.82
09-10-2020,136.52
08-10-2020,136.6
08-10-2020,136.49
08-10-2020,136.49
07-10-2020,136.49
06-10-2020,136.49
05-10-2020,136.36
02-10-2020,136.03
01-10-2020,133.32
30-09-2020,133.02
29-09-2020,132.4
28-09-2020,132.25
25-09-2020,132.08
24-09-2020,131.98
23-09-2020,131.82
22-09-2020,131.77
21-09-2020,131.52
18-09-2020,131.32
17-09-2020,131.32
16-09-2020,131.26
15-09-2020,103.17
14-09-2020,103.01
11-09-2020,102.91
10-09-2020,102.79
09-09-2020,102.77
08-09-2020,102.74
07-09-2020,102.62
04-09-2020,102.23
03-09-2020,102.22
02-09-2020,102.22
01-09-2020,102.05
31-08-2020,101.87
28-08-2020,101.63
27-08-2020,101.57
26-08-2020,101.34
25-08-2020,101.32
24-08-2020,101.3
21-08-2020,101.14
20-08-2020,101.1
19-08-2020,101.01
18-08-2020,100.8
14-08-2020,100.61
13-08-2020,100.65
12-08-2020,100.52
11-08-2020,100.32
10-08-2020,100.27
07-08-2020,99.98
06-08-2020,99.96
05-08-2020,99.96
04-08-2020,99.7
03-08-2020,99.63
31-07-2020,99.31
30-07-2020,99.15
29-07-2020,98.9
28-07-2020,98.93
27-07-2020,98.8
24-07-2020,98.7
24-07-2020,98.62
23-07-2020,98.62
22-07-2020,98.36
21-07-2020,98.33
20-07-2020,98.23
17-07-2020,97.83
16-07-2020,97.77
15-07-2020,97.77
14-07-2020,97.62
13-07-2020,97.49
08-07-2020,97.12
07-07-2020,97.03
06-07-2020,96.99
03-07-2020,96.62
02-07-2020,96.43
01-07-2020,96.37
30-06-2020,96.29
29-06-2020,96.02
26-06-2020,95.63
25-06-2020,95.59
24-06-2020,95.56
23-06-2020,95.47
22-06-2020,95.07
19-06-2020,95.0
18-06-2020,94.87
17-06-2020,94.72
16-06-2020,94.48
12-06-2020,94.25
11-06-2020,94.04
10-06-2020,93.85
09-06-2020,93.65
08-06-2020,93.44
05-06-2020,92.92
04-06-2020,92.5
03-06-2020,92.2
02-06-2020,92.31
01-06-2020,91.94
29-05-2020,91.99
28-05-2020,91.9
27-05-2020,91.82
26-05-2020,91.79
22-05-2020,91.75
21-05-2020,91.49
20-05-2020,91.43
19-05-2020,91.42
18-05-2020,91.34
15-05-2020,91.08
14-05-2020,91.07
13-05-2020,90.79
12-05-2020,90.56
11-05-2020,90.52
08-05-2020,90.52
07-05-2020,90.4
06-05-2020,90.3
05-05-2020,90.1
04-05-2020,89.91
30-04-2020,89.91
29-04-2020,89.79
28-04-2020,89.66
27-04-2020,89.56
24-04-2020,89.3
23-04-2020,88.97
22-04-2020,88.96
21-04-2020,88.84
20-04-2020,88.35
17-04-2020,88.35
16-04-2020,88.23
15-04-2020,87.88
14-04-2020,87.79
13-04-2020,87.66
08-04-2020,87.19
07-04-2020,87.22
06-04-2020,87.07
03-04-2020,86.91
02-04-2020,86.46
01-04-2020,86.59
30-03-2020,86.55
27-03-2020,86.37
26-03-2020,85.97
25-03-2020,85.61
20-03-2020,85.68
19-03-2020,85.27
18-03-2020,85.1
17-03-2020,84.45
16-03-2020,84.62
13-03-2020,84.57
12-03-2020,84.53
11-03-2020,84.16
10-03-2020,84.14
09-03-2020,84.12
06-03-2020,84.12
05-03-2020,83.73
04-03-2020,83.89
03-03-2020,83.86
02-03-2020,83.71
28-02-2020,83.54
27-02-2020,83.24
26-02-2020,83.32
21-02-2020,83.19
20-02-2020,83.02
19-02-2020,82.82
18-02-2020,83.19
17-02-2020,82.91
14-02-2020,82.85
13-02-2020,82.76
12-02-2020,82.71
11-02-2020,82.5
10-02-2020,82.3
07-02-2020,81.97
06-02-2020,81.91
05-02-2020,82.03
04-02-2020,81.99
